ID,Temperatura,Humedad Ambiental,Humedad de Suelo
10007,22,83,72
10008,22,83,72
10009,22,83,71
10010,22,83,70
10011,22,83,72
10012,22,83,72
10013,22,83,70
10014,22,83,71
10015,22,83,72
10016,22,83,71
10017,22,83,71
10018,22,83,72
10019,22,83,70
10020,22,83,72
10021,22,83,72
10022,22,83,70
10023,22,83,72
10024,22,83,72
10025,22,83,71
10026,22,83,70
10027,22,83,72
10028,22,83,72
10029,22,83,71
10030,22,83,71
10031,22,83,72
10032,22,83,71
10033,22,83,71
10034,22,83,72
10035,22,83,71
10036,22,83,72
10037,22,83,72
10038,22,83,71
10039,22,83,72
